                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2743,                 4.7914,                  2.078,                      0,                      0,                      0,                      0,                  2.404,                 4.3907,                 2.1741,                  2e-05,                  2e-05,                  2e-05
                      2,                 1.7558,                  4.652,                 1.6777,                      0,                      0,                      0,                      0,                 1.5853,                 4.1249,                 1.5476,             4.2079e-05,             4.2079e-05,             4.2079e-05
                      3,                 1.2951,                 4.3985,                  1.314,                      0,                      0,                      0,                      0,                 1.3213,                 4.0259,                 1.2487,             6.3713e-05,             6.3713e-05,             6.3713e-05
                      4,                 1.1918,                 4.1726,                  1.209,                0.01664,                0.04525,                 0.0112,                0.00842,                 1.0683,                 3.9176,                  1.108,             8.4901e-05,             8.4901e-05,             8.4901e-05
                      5,                 1.0961,                 3.9532,                 1.1497,                0.02393,                0.18321,                0.02309,                0.01783,                 1.2021,                  3.858,                 1.1204,             0.00010564,             0.00010564,             0.00010564
                      6,                 1.0777,                 3.7857,                 1.1399,                0.03116,                0.29753,                0.03548,                0.02846,                 1.1408,                 3.8272,                 1.1069,             0.00012594,             0.00012594,             0.00012594
                      7,                 1.0867,                 3.6192,                 1.1525,                0.02894,                0.41977,                0.04961,                0.04018,                 1.1733,                 3.7574,                 1.1306,             0.00014579,             0.00014579,             0.00014579
                      8,                 1.0968,                 3.4082,                  1.165,                0.03601,                0.47728,                0.09007,                0.07197,                 1.1666,                 3.6723,                 1.1513,              0.0001652,              0.0001652,              0.0001652
                      9,                 1.1168,                 3.2349,                 1.1814,                0.67076,                 0.0936,                0.13822,                0.10714,                0.98561,                 3.2223,                 1.1075,             0.00018416,             0.00018416,             0.00018416
                     10,                  1.109,                 3.0537,                 1.1855,                0.41407,                0.15797,                0.17335,                0.13424,                0.98269,                  2.971,                 1.1361,             0.00020268,             0.00020268,             0.00020268
                     11,                  1.077,                 2.8721,                 1.1838,                0.35513,                0.22364,                    0.2,                0.14781,                  1.062,                 2.8895,                 1.1552,             0.00022075,             0.00022075,             0.00022075
                     12,                 1.1043,                 2.7372,                  1.203,                0.39399,                0.30465,                0.24677,                0.19053,                 1.0182,                 2.6194,                 1.1384,             0.00022278,             0.00022278,             0.00022278
                     13,                 1.0954,                 2.5973,                 1.1992,                0.34024,                0.36969,                 0.2927,                0.22008,                 1.0391,                 2.4392,                 1.1586,              0.0002203,              0.0002203,              0.0002203
                     14,                 1.0761,                 2.4174,                 1.1832,                0.46641,                0.39873,                0.37771,                0.29996,                0.96056,                 2.2608,                 1.1254,             0.00021782,             0.00021782,             0.00021782
                     15,                 1.0624,                 2.3401,                 1.1836,                0.51647,                0.38045,                0.41502,                0.31878,                 1.0218,                 2.1261,                 1.1321,             0.00021535,             0.00021535,             0.00021535
                     16,                 1.0545,                 2.1852,                 1.1539,                0.41548,                0.47051,                0.45833,                0.36006,                0.95129,                 2.0062,                 1.1379,             0.00021288,             0.00021288,             0.00021288
                     17,                 1.0278,                 2.1411,                 1.1719,                0.47065,                0.47164,                0.48959,                0.38221,                 0.9776,                 1.8976,                 1.1969,              0.0002104,              0.0002104,              0.0002104
                     18,                 1.0369,                 2.0256,                 1.1686,                0.53631,                0.47059,                0.53238,                0.41236,                0.96233,                 1.7975,                 1.1502,             0.00020792,             0.00020792,             0.00020792
                     19,                 1.0402,                 1.9935,                 1.1692,                0.62142,                0.50058,                0.57314,                0.44436,                0.94134,                 1.6169,                 1.1581,             0.00020545,             0.00020545,             0.00020545
                     20,                 1.0235,                 1.8945,                 1.1574,                0.66034,                0.54615,                0.61529,                0.47186,                 0.9667,                 1.5274,                 1.2175,             0.00020298,             0.00020298,             0.00020298
                     21,                 1.0026,                 1.8254,                 1.1447,                0.66709,                0.59085,                0.64323,                0.48619,                 1.0028,                 1.3833,                 1.2511,              0.0002005,              0.0002005,              0.0002005
                     22,                  1.017,                 1.7626,                 1.1595,                0.66335,                0.60539,                0.66385,                0.51757,                 0.9466,                 1.3295,                 1.1718,             0.00019803,             0.00019803,             0.00019803
                     23,                0.98774,                 1.7651,                 1.1644,                0.78071,                0.58898,                0.68454,                0.53678,                0.93671,                 1.2632,                 1.1733,             0.00019555,             0.00019555,             0.00019555
                     24,                0.95479,                 1.6697,                 1.1196,                0.72719,                0.57736,                0.66641,                0.51978,                0.94988,                 1.3368,                 1.2147,             0.00019307,             0.00019307,             0.00019307
                     25,                0.97209,                 1.6571,                 1.1423,                0.79292,                0.57693,                0.67638,                0.52996,                0.93913,                   1.26,                 1.1718,              0.0001906,              0.0001906,              0.0001906
                     26,                0.97341,                 1.6172,                 1.1408,                0.82099,                0.58856,                0.69856,                0.54088,                0.95999,                 1.2757,                 1.1723,             0.00018812,             0.00018812,             0.00018812
                     27,                0.94514,                 1.5417,                 1.1122,                0.81033,                0.60921,                0.70222,                0.55342,                0.91814,                 1.2491,                 1.1499,             0.00018565,             0.00018565,             0.00018565
                     28,                 0.9625,                 1.5377,                  1.134,                0.82746,                0.59372,                 0.7142,                0.55957,                 0.9285,                 1.1641,                 1.1576,             0.00018318,             0.00018318,             0.00018318
                     29,                0.93836,                 1.5015,                 1.1149,                0.83067,                0.64643,                0.73433,                0.55972,                0.99018,                 1.1025,                 1.2674,              0.0001807,              0.0001807,              0.0001807
